Kennziffer;Raumeinheit;Aggregat;Einwohner 65 Jahre und älter;Durchschnittsalter der Bevölkerung ;Krankenhausbetten;Ärzte je  Einwohner;Einpendler;Auspendler
"08226";"Rhein-Neckar-Kreis";"Landkreis";"21,3";"44,0";"2,76";"13,2";"76,7";"81,9"
"08231";"Pforzheim, Stadt";"Landkreis";"20,3";"42,4";"9,59";"19,6";"53,6";"45,1"
"08235";"Calw";"Landkreis";"20,5";"43,7";"7,94";"11,2";"63,9";"74,7"
"08236";"Enzkreis";"Landkreis";"20,9";"43,9";"1,63";"10,7";"74,0";"80,8"
"08237";"Freudenstadt";"Landkreis";"20,4";"43,6";"4,10";"11,5";"62,4";"65,4"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"16,3";"39,9";"9,83";"27,2";"54,9";"30,5"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"21,5";"43,9";"5,11";"13,3";"72,2";"77,8"
"08316";"Emmendingen";"Landkreis";"20,6";"43,7";"6,17";"13,5";"71,3";"78,4"
"08317";"Ortenaukreis";"Landkreis";"20,6";"43,6";"5,38";"12,8";"66,3";"66,9"
"08325";"Rottweil";"Landkreis";"20,9";"43,7";"6,00";"12,0";"67,6";"69,0"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"22,1";"44,1";"6,15";"13,5";"58,0";"57,9"
"08327";"Tuttlingen";"Landkreis";"19,4";"42,4";"2,61";"11,0";"66,8";"64,0"
"08335";"Konstanz";"Landkreis";"20,7";"43,2";"5,85";"15,2";"56,5";"57,4"
"08336";"Lörrach";"Landkreis";"20,1";"43,4";"3,63";"12,0";"64,6";"63,4"
"08337";"Waldshut";"Landkreis";"20,9";"43,5";"4,18";"11,1";"63,0";"63,7"
"08415";"Reutlingen";"Landkreis";"20,3";"43,3";"4,32";"13,3";"65,3";"66,8"
"08416";"Tübingen";"Landkreis";"17,0";"40,9";"8,53";"15,6";"64,9";"67,7"
"08417";"Zollernalbkreis";"Landkreis";"21,9";"44,5";"2,92";"11,5";"58,9";"64,1"
"08421";"Ulm, Stadt";"krsfr. Stadt";"18,4";"41,2";"12,28";"24,0";"67,2";"39,7"
"08425";"Alb-Donau-Kreis";"Landkreis";"19,1";"42,5";"2,16";"12,1";"66,3";"78,1"
"08426";"Biberach";"Landkreis";"18,4";"42,1";"4,07";"11,8";"71,4";"72,4"
"08435";"Bodenseekreis";"Landkreis";"22,4";"44,3";"3,48";"15,3";"64,8";"64,1"
"08436";"Ravensburg";"Landkreis";"19,5";"42,6";"6,13";"14,7";"66,3";"66,4"
"08437";"Sigmaringen";"Landkreis";"20,1";"43,3";"5,03";"11,4";"63,9";"68,3"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"18,5";"41,8";"9,61";"18,9";"61,3";"32,4"
"09162";"München, Stadt";"krsfr. Stadt";"17,8";"41,3";"7,67";"21,8";"45,0";"27,7"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"20,1";"42,5";"9,92";"29,8";"67,4";"53,4"
"09171";"Altötting";"Landkreis";"21,7";"44,1";"5,32";"13,3";"76,2";"75,4"
"09172";"Berchtesgadener Land";"Landkreis";"23,6";"44,9";"6,18";"14,8";"65,2";"65,5"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"21,2";"43,7";"5,02";"15,0";"65,5";"74,7"
"09174";"Dachau";"Landkreis";"18,3";"42,2";"3,26";"12,2";"74,4";"84,4"
"09175";"Ebersberg";"Landkreis";"18,7";"42,2";"2,36";"12,1";"79,2";"85,9"
"09176";"Eichstätt";"Landkreis";"17,4";"41,5";"3,48";"10,3";"76,8";"83,7"
"09177";"Erding";"Landkreis";"16,7";"41,6";"3,05";"11,8";"74,5";"81,6"
"09178";"Freising";"Landkreis";"15,7";"40,7";"2,01";"11,4";"79,5";"79,5"
"09179";"Fürstenfeldbruck";"Landkreis";"21,5";"43,6";"1,75";"13,7";"75,3";"85,9"
"09180";"Garmisch-Partenkirchen";"Landkreis";"25,0";"45,8";"15,42";"16,1";"54,2";"59,8"
"09181";"Landsberg am Lech";"Landkreis";"19,7";"43,1";"3,98";"12,4";"75,0";"79,9"
"09182";"Miesbach";"Landkreis";"22,6";"44,6";"4,63";"17,2";"73,3";"75,9"
"09183";"Mühldorf a.Inn";"Landkreis";"19,8";"43,1";"3,02";"13,9";"69,8";"74,9"
"09184";"München";"Landkreis";"20,5";"42,8";"3,93";"12,4";"90,4";"84,3"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"18,8";"42,6";"4,68";"11,9";"64,6";"72,4"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"17,9";"42,3";"2,61";"11,1";"73,4";"80,4"
"09187";"Rosenheim";"Landkreis";"21,1";"43,7";"10,93";"13,0";"72,4";"77,7"
"09188";"Starnberg";"Landkreis";"22,8";"44,4";"9,45";"17,8";"80,4";"79,9"
"09189";"Traunstein";"Landkreis";"22,6";"44,5";"4,88";"16,3";"68,7";"69,7"
"09190";"Weilheim-Schongau";"Landkreis";"21,4";"43,9";"3,21";"15,8";"68,5";"72,0"
"09261";"Landshut, Stadt";"krsfr. Stadt";"20,6";"43,2";"18,06";"26,3";"65,7";"54,2"
"09262";"Passau, Stadt";"krsfr. Stadt";"21,5";"43,1";"14,27";"28,8";"68,8";"32,6"
"09263";"Straubing, Stadt";"krsfr. Stadt";"21,2";"44,2";"9,55";"26,7";"61,1";"40,3"
"09271";"Deggendorf";"Landkreis";"20,0";"43,6";"11,08";"14,7";"71,3";"71,0"
"09272";"Freyung-Grafenau";"Landkreis";"21,3";"44,9";"5,18";"11,6";"68,6";"75,1"
"09273";"Kelheim";"Landkreis";"18,3";"42,3";"3,18";"11,4";"64,6";"73,7"
"09274";"Landshut";"Landkreis";"18,4";"42,6";"1,19";"7,8";"75,9";"82,6"
"09275";"Passau";"Landkreis";"21,7";"44,6";"3,59";"12,1";"69,1";"75,7"
"09276";"Regen";"Landkreis";"22,0";"44,9";"4,07";"13,3";"69,5";"72,8"
"09277";"Rottal-Inn";"Landkreis";"21,1";"44,1";"5,33";"12,4";"68,1";"74,3"
"09278";"Straubing-Bogen";"Landkreis";"19,3";"43,3";"3,92";"8,8";"72,7";"82,9"
"09279";"Dingolfing-Landau";"Landkreis";"18,8";"43,0";"1,32";"12,5";"76,8";"72,9"
"09361";"Amberg, Stadt";"krsfr. Stadt";"23,3";"45,1";"13,22";"27,7";"64,7";"41,7"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"17,2";"40,9";"18,78";"24,9";"64,1";"30,0"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"23,1";"44,9";"16,57";"30,1";"65,0";"40,4"
"09371";"Amberg-Sulzbach";"Landkreis";"20,8";"44,6";"1,97";"9,3";"64,7";"76,9"
"09372";"Cham";"Landkreis";"20,8";"44,3";"5,45";"12,3";"70,6";"72,1"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"18,8";"43,0";"3,81";"11,9";"64,2";"69,1"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"20,7";"44,4";"1,97";"9,5";"75,5";"81,1"
"09375";"Regensburg";"Landkreis";"19,0";"43,1";"1,26";"11,4";"76,2";"86,6"
"09376";"Schwandorf";"Landkreis";"20,3";"44,0";"3,67";"12,9";"70,1";"73,6"
"09377";"Tirschenreuth";"Landkreis";"22,5";"45,3";"3,98";"11,1";"69,0";"73,5"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"19,2";"42,0";"13,37";"27,3";"69,7";"41,0"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"21,5";"43,1";"18,61";"27,3";"61,4";"30,8"
"09463";"Coburg, Stadt";"krsfr. Stadt";"23,5";"45,1";"12,42";"24,0";"69,7";"39,1"
"09464";"Hof, Stadt";"krsfr. Stadt";"23,9";"44,9";"10,07";"23,5";"58,8";"40,4"
"09471";"Bamberg";"Landkreis";"18,7";"43,2";"2,12";"8,4";"75,8";"85,7"
"09472";"Bayreuth";"Landkreis";"22,1";"45,2";"1,13";"8,5";"66,7";"81,8"
"09473";"Coburg";"Landkreis";"22,9";"45,5";"1,07";"7,9";"71,6";"78,6"
"09474";"Forchheim";"Landkreis";"20,0";"43,8";"2,69";"12,7";"70,9";"82,0"
"09475";"Hof";"Landkreis";"25,6";"47,1";"6,17";"10,9";"73,5";"73,5"
"09476";"Kronach";"Landkreis";"23,9";"46,7";"4,17";"12,0";"68,4";"71,6"
"09477";"Kulmbach";"Landkreis";"23,8";"46,3";"7,29";"14,9";"66,3";"70,1"
"09478";"Lichtenfels";"Landkreis";"22,2";"45,2";"11,15";"12,0";"71,0";"71,3"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"26,2";"47,2";"5,57";"13,3";"64,2";"62,7"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"21,4";"43,7";"29,59";"27,6";"64,2";"42,2"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"17,9";"41,0";"19,81";"21,3";"68,8";"39,2"
"09563";"Fürth, Stadt";"krsfr. Stadt";"18,3";"42,4";"6,87";"17,9";"66,3";"70,8"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"20,2";"42,7";"6,90";"19,1";"52,8";"31,8"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"21,8";"44,1";"4,18";"17,4";"66,7";"67,4"
"09571";"Ansbach";"Landkreis";"19,8";"43,4";"0,82";"9,4";"66,9";"74,5"
"09572";"Erlangen-Höchstadt";"Landkreis";"20,2";"43,6";"0,85";"12,3";"77,4";"80,2"
"09573";"Fürth";"Landkreis";"22,8";"45,1";;"12,6";"74,1";"87,1"
"09574";"Nürnberger Land";"Landkreis";"22,2";"44,8";"5,75";"12,8";"74,7";"80,7"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"20,6";"44,0";"4,81";"12,6";"69,5";"76,4"
"09576";"Roth";"Landkreis";"20,6";"44,0";"2,15";"10,7";"66,7";"76,2"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"21,6";"44,3";"4,47";"13,0";"64,2";"69,6"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"20,7";"43,6";"13,51";"27,7";"70,1";"51,8"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"23,8";"44,5";"17,45";"28,3";"76,1";"36,0"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"20,0";"42,2";"18,37";"30,5";"63,7";"35,9"
"09671";"Aschaffenburg";"Landkreis";"21,1";"44,5";"0,24";"8,8";"77,6";"83,7"
"09672";"Bad Kissingen";"Landkreis";"24,1";"46,1";"8,36";"13,3";"68,1";"73,4"
"09673";"Rhön-Grabfeld";"Landkreis";"21,7";"44,7";"13,84";"14,3";"75,2";"76,6"
"09674";"Haßberge";"Landkreis";"20,4";"44,2";"2,84";"12,1";"71,9";"78,5"
"09675";"Kitzingen";"Landkreis";"20,4";"43,9";"2,73";"12,7";"71,6";"75,9"
"09676";"Miltenberg";"Landkreis";"21,0";"44,3";"2,27";"11,5";"79,4";"83,4"
"09677";"Main-Spessart";"Landkreis";"22,5";"45,4";"5,24";"12,5";"69,8";"74,1"
"09678";"Schweinfurt";"Landkreis";"21,4";"44,5";"5,21";"8,0";"78,5";"88,5"
"09679";"Würzburg";"Landkreis";"20,9";"44,1";"0,87";"12,0";"80,3";"88,4"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"19,5";"42,3";"10,10";"19,7";"51,8";"41,1"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"22,9";"44,5";"14,47";"26,2";"51,5";"49,1"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"22,2";"43,6";"8,89";"24,3";"59,1";"43,9"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"21,6";"43,8";"12,57";"24,4";"63,6";"38,2"
"09771";"Aichach-Friedberg";"Landkreis";"19,6";"43,0";"2,13";"11,7";"70,4";"80,8"
"09772";"Augsburg";"Landkreis";"20,3";"43,4";"1,20";"11,9";"77,7";"84,0"
"09773";"Dillingen a.d.Donau";"Landkreis";"19,9";"43,4";"3,35";"11,5";"68,4";"74,3"
"09774";"Günzburg";"Landkreis";"19,2";"43,0";"8,47";"12,3";"73,2";"74,6"
"09775";"Neu-Ulm";"Landkreis";"20,1";"43,1";"2,40";"13,4";"73,6";"76,9"
"09776";"Lindau (Bodensee)";"Landkreis";"22,5";"44,6";"7,49";"15,0";"65,1";"65,0"
"09777";"Ostallgäu";"Landkreis";"21,0";"43,5";"3,70";"11,0";"65,9";"71,6"
"09778";"Unterallgäu";"Landkreis";"21,0";"43,6";"3,04";"9,4";"73,3";"78,0"
"09779";"Donau-Ries";"Landkreis";"19,6";"43,1";"4,00";"11,8";"72,3";"70,5"
"09780";"Oberallgäu";"Landkreis";"22,5";"44,7";"2,89";"11,7";"67,1";"72,5"
"10041";"Regionalverband Saarbrücken";"Landkreis";"22,7";"44,9";"7,87";"18,3";"67,5";"57,5"
"10042";"Merzig-Wadern";"Landkreis";"22,2";"45,5";"4,63";"12,4";"65,1";"68,9"
"10043";"Neunkirchen";"Landkreis";"24,1";"46,4";"5,22";"14,0";"71,0";"76,8"
"10044";"Saarlouis";"Landkreis";"23,6";"46,0";"5,09";"15,3";"78,3";"78,9"
"10045";"Saarpfalz-Kreis";"Landkreis";"24,6";"46,6";"10,18";"15,7";"73,2";"67,7"
"10046";"St. Wendel";"Landkreis";"24,0";"46,8";"2,80";"13,5";"68,5";"74,9"
"11000";"Berlin, Stadt";"krsfr. Stadt";"19,2";"42,2";"5,63";"17,9";"21,7";"13,9"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"27,3";"47,7";"12,57";"19,2";"40,5";"35,4"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"24,7";"46,1";"11,62";"22,8";"48,0";"35,4"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"25,2";"46,8";"16,20";"22,8";"47,7";"31,8"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"19,6";"42,2";"9,15";"19,7";"58,8";"49,1"
"12060";"Barnim";"Landkreis";"23,3";"46,3";"6,52";"12,2";"65,2";"76,3"
"12061";"Dahme-Spreewald";"Landkreis";"23,8";"46,5";"6,04";"11,8";"79,0";"80,8"
"12062";"Elbe-Elster";"Landkreis";"27,4";"49,0";"4,45";"12,9";"64,9";"71,0"
"12063";"Havelland";"Landkreis";"22,1";"45,6";"3,02";"11,1";"67,1";"77,6"
"12064";"Märkisch-Oderland";"Landkreis";"23,5";"46,9";"3,47";"12,8";"74,4";"82,9"
"12065";"Oberhavel";"Landkreis";"22,5";"45,8";"5,24";"12,2";"67,4";"78,2"
"12066";"Oberspreewald-Lausitz";"Landkreis";"28,3";"49,0";"4,58";"12,4";"67,5";"68,5"
"12067";"Oder-Spree";"Landkreis";"25,8";"47,8";"7,59";"13,2";"64,6";"71,0"
"12068";"Ostprignitz-Ruppin";"Landkreis";"24,7";"47,5";"11,52";"15,0";"53,6";"57,4"
"12069";"Potsdam-Mittelmark";"Landkreis";"21,9";"45,7";"3,39";"10,5";"74,3";"81,6"
"12070";"Prignitz";"Landkreis";"27,4";"49,0";"4,99";"13,3";"58,5";"61,7"
"12071";"Spree-Neiße";"Landkreis";"27,0";"49,2";"4,48";"10,7";"61,9";"68,6"
"12072";"Teltow-Fläming";"Landkreis";"22,3";"45,6";"2,97";"11,6";"71,6";"75,0"
"12073";"Uckermark";"Landkreis";"27,0";"48,6";"5,76";"13,3";"50,2";"54,4"
"13003";"Rostock, Stadt";"krsfr. Stadt";"23,5";"44,6";"7,30";"21,4";"37,7";"29,3"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"25,1";"45,7";"15,17";"22,1";"51,4";"30,0"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"25,0";"47,5";"6,27";"15,2";"56,2";"57,5"
"13072";"Landkreis Rostock";"Landkreis";"23,2";"46,5";"3,66";"12,3";"71,0";"76,0"
"13073";"Vorpommern-Rügen";"Landkreis";"25,4";"47,6";"5,05";"14,7";"57,4";"62,1"
"13074";"Nordwestmecklenburg";"Landkreis";"22,9";"46,0";"3,78";"12,9";"63,8";"71,3"
"13075";"Vorpommern-Greifswald";"Landkreis";"24,5";"46,8";"9,34";"15,5";"58,8";"59,7"
"13076";"Ludwigslust-Parchim";"Landkreis";"23,1";"46,7";"4,49";"11,5";"67,8";"75,2"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"27,6";"46,4";"9,43";"17,7";"45,2";"30,4"
"14521";"Erzgebirgskreis";"Landkreis";"28,8";"48,4";"6,01";"12,9";"66,9";"71,6"
"14522";"Mittelsachsen";"Landkreis";"27,6";"47,9";"4,33";"12,5";"67,1";"70,3"
"14523";"Vogtlandkreis";"Landkreis";"29,5";"49,0";"7,44";"13,8";"60,7";"64,7"
"14524";"Zwickau";"Landkreis";"28,8";"48,5";"6,23";"14,8";"64,4";"65,2"
"14612";"Dresden, Stadt";"krsfr. Stadt";"21,8";"42,5";"6,98";"17,9";"36,3";"25,1"
"14625";"Bautzen";"Landkreis";"26,9";"47,8";"5,65";"13,7";"70,2";"72,3"
"14626";"Görlitz";"Landkreis";"29,1";"48,8";"7,04";"13,5";"61,0";"64,4"
"14627";"Meißen";"Landkreis";"27,0";"47,7";"4,94";"14,3";"69,1";"71,2"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"27,1";"47,3";"5,23";"12,8";"66,0";"72,6"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"20,5";"42,0";"7,05";"17,5";"37,1";"27,2"
"14729";"Leipzig";"Landkreis";"26,1";"47,5";"4,40";"13,3";"70,2";"77,9"
"14730";"Nordsachsen";"Landkreis";"25,2";"47,4";"7,22";"13,3";"67,6";"71,1"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"30,8";"49,6";"11,42";"19,9";"39,8";"33,8"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"23,9";"44,0";"12,43";"20,9";"42,1";"35,2"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"24,1";"44,6";"9,85";"19,1";"41,8";"30,6"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"23,6";"46,8";"5,04";"10,5";"46,4";"59,6"
"15082";"Anhalt-Bitterfeld";"Landkreis";"27,3";"48,6";"5,33";"13,3";"56,7";"63,2"
"15083";"Börde";"Landkreis";"23,1";"46,5";"3,57";"11,4";"68,1";"74,2"
"15084";"Burgenlandkreis";"Landkreis";"27,3";"48,5";"5,99";"13,1";"61,2";"68,4"
"15085";"Harz";"Landkreis";"27,5";"48,5";"7,19";"12,6";"52,1";"60,3"
"15086";"Jerichower Land";"Landkreis";"25,2";"47,8";"8,30";"10,9";"58,1";"68,1"
"15087";"Mansfeld-Südharz";"Landkreis";"28,9";"49,5";"5,37";"12,6";"61,5";"68,5"
"15088";"Saalekreis";"Landkreis";"25,1";"47,2";"3,41";"11,9";"75,9";"78,7"
"15089";"Salzlandkreis";"Landkreis";"27,4";"48,5";"6,71";"13,6";"54,8";"61,7"
"15090";"Stendal";"Landkreis";"24,8";"47,4";"8,86";"13,5";"53,6";"62,0"
"15091";"Wittenberg";"Landkreis";"28,0";"49,1";"4,64";"12,2";"46,4";"55,6"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"21,9";"43,8";"7,92";"19,8";"45,3";"27,5"
"16052";"Gera, Stadt";"krsfr. Stadt";"28,4";"48,3";"10,21";"23,3";"43,0";"39,8"
"16053";"Jena, Stadt";"krsfr. Stadt";"21,1";"42,0";"13,07";"20,5";"46,4";"27,6"
"16054";"Suhl, Stadt";"krsfr. Stadt";"31,5";"50,2";"15,75";"25,3";"54,7";"45,6"
"16055";"Weimar, Stadt";"krsfr. Stadt";"22,8";"43,9";"8,70";"20,6";"51,4";"49,2"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"25,6";"46,5";"9,30";"23,2";"57,3";"40,0"
"16061";"Eichsfeld";"Landkreis";"23,1";"45,3";"4,13";"13,5";"70,3";"72,4"
"16062";"Nordhausen";"Landkreis";"25,8";"47,0";"11,54";"15,8";"57,2";"59,6"
"16063";"Wartburgkreis";"Landkreis";"24,9";"47,2";"4,22";"11,2";"72,2";"78,9"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"24,5";"46,5";"12,27";"14,5";"59,5";"64,9"
"16065";"Kyffhäuserkreis";"Landkreis";"26,5";"48,1";"5,99";"12,8";"57,2";"68,5"
"16066";"Schmalkalden-Meiningen";"Landkreis";"25,9";"47,7";"6,52";"14,5";"66,0";"70,4"
"16067";"Gotha";"Landkreis";"24,8";"46,6";"3,75";"12,3";"67,2";"70,7"
"16068";"Sömmerda";"Landkreis";"23,8";"46,6";;"9,3";"73,3";"75,6"
"16069";"Hildburghausen";"Landkreis";"24,3";"47,1";"7,96";"11,9";"66,7";"75,2"
"16070";"Ilm-Kreis";"Landkreis";"25,4";"46,7";"5,14";"11,2";"66,0";"69,4"
"16071";"Weimarer Land";"Landkreis";"23,4";"46,1";"12,97";"11,9";"68,6";"74,7"
"16072";"Sonneberg";"Landkreis";"27,4";"48,7";"6,74";"14,2";"62,8";"66,3"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"28,4";"49,0";"9,18";"13,4";"62,5";"68,3"
"16074";"Saale-Holzland-Kreis";"Landkreis";"25,4";"47,3";"7,73";"10,8";"76,6";"79,8"
"16075";"Saale-Orla-Kreis";"Landkreis";"26,1";"47,9";"1,46";"11,7";"69,6";"70,0"
"16076";"Greiz";"Landkreis";"28,5";"49,4";"4,08";"13,0";"64,9";"72,0"
"16077";"Altenburger Land";"Landkreis";"29,9";"49,7";"6,56";"14,6";"65,0";"71,7"
